date,PM2.5,PM10,SO2,NO2,CO,O3,IAQI,level
2013-01-01,30.314285714285713,26.215,11.365,21.51875,7.249999999999999,27.35,30.314285714285713,1
2013-01-02,28.957142857142856,27.299999999999997,10.77,20.71875,6.75,31.402499999999996,31.402499999999996,1
2013-01-03,20.542857142857144,25.895000000000003,5.43,8.99375,6.75,31.33,31.33,1
2013-01-04,11.021428571428572,15.5,4.895,10.4875,5.875,33.585,33.585,1
2013-01-05,11.414285714285715,16.515,4.98,10.65,6.0,33.6525,33.6525,1
2013-01-06,21.135714285714286,24.63,5.87,11.131250000000001,7.249999999999999,33.94,33.94,1
2013-01-07,54.5625,50.5875,8.02,12.98125,10.25,29.225,54.5625,2
2013-01-08,56.2875,50.5475,9.934999999999999,15.925,10.5,27.4675,56.2875,2
2013-01-09,39.26428571428571,35.39,8.06,10.625,8.25,32.5975,39.26428571428571,1
2013-01-10,23.685714285714283,24.284999999999997,5.7,8.8625,7.000000000000001,32.735,32.735,1
2013-01-11,13.464285714285715,15.245,5.795,11.6625,6.0,35.9825,35.9825,1
2013-01-12,11.278571428571428,16.925,5.075,12.225000000000001,5.5,35.957499999999996,35.957499999999996,1
2013-01-13,16.978571428571428,23.115,5.985,13.8875,6.0,35.1225,35.1225,1
2013-01-14,38.95,35.485,8.76,14.300000000000002,8.75,33.085,38.95,1
2013-01-15,19.692857142857143,18.58,7.86,16.3625,6.25,33.2975,33.2975,1
2013-01-16,41.95,36.315,12.135,22.643749999999997,8.25,32.394999999999996,41.95,1
2013-01-17,69.31875,55.16,10.64,11.49375,11.75,29.9,69.31875,2
2013-01-18,10.871428571428572,12.78,4.9350000000000005,9.78125,6.0,35.125,35.125,1
2013-01-19,8.821428571428571,9.58,4.91,11.343749999999998,5.5,37.254999999999995,37.254999999999995,1
2013-01-20,8.42142857142857,8.375,5.58,14.35,5.0,33.65,33.65,1
2013-01-21,18.57857142857143,18.175,13.82,33.9,5.25,27.7,33.9,1
2013-01-22,123.34375,81.5975,18.509999999999998,44.1,18.5,12.3775,123.34375,3
2013-01-23,106.91874999999999,72.33,18.98,29.08125,16.5,17.8375,106.91874999999999,3
2013-01-24,95.8125,66.375,20.3,23.5,14.499999999999998,25.2675,95.8125,2
2013-01-25,104.39375,69.9725,17.605,17.731249999999996,15.875,28.612499999999997,104.39375,3
2013-01-26,17.478571428571428,16.3,7.14,14.406249999999996,6.25,38.8,38.8,1
2013-01-27,46.80714285714286,39.010000000000005,11.53,13.831250000000002,9.5,33.1025,46.80714285714286,1
