date,PM2.5,PM10,SO2,NO2,CO,O3,IAQI,level
2013-01-01,27.214285714285715,23.63,8.71,14.9125,7.000000000000001,30.65,30.65,1
2013-01-02,26.871428571428567,25.35,7.63,13.625,6.5,34.64,34.64,1
2013-01-03,18.97142857142857,24.94,3.89,5.2,6.5,33.185,33.185,1
2013-01-04,9.428571428571429,14.03,2.88,5.2875000000000005,5.75,36.14,36.14,1
2013-01-05,9.728571428571428,15.13,2.79,5.450000000000001,6.0,36.16,36.16,1
2013-01-06,19.285714285714285,23.15,3.57,5.812500000000001,7.000000000000001,36.455,36.455,1
2013-01-07,52.55,49.34,5.56,7.25,10.0,31.8,52.55,2
2013-01-08,49.81428571428571,44.96,7.03,8.3375,9.75,31.62,49.81428571428571,1
2013-01-09,36.8,33.39,6.1,5.799999999999999,8.25,34.97,36.8,1
2013-01-10,21.8,23.08,3.98,4.5125,6.75,34.93,34.93,1
2013-01-11,11.928571428571429,14.13,3.78,7.25,5.75,38.195,38.195,1
2013-01-12,9.628571428571428,15.35,2.91,6.8375,5.5,38.77,38.77,1
2013-01-13,15.157142857142857,21.75,3.88,8.825,6.0,37.305,37.305,1
2013-01-14,34.82857142857143,32.3,6.33,9.175,8.5,35.655,35.655,1
2013-01-15,17.757142857142856,16.91,5.67,10.9375,6.25,36.11,36.11,1
2013-01-16,37.91428571428571,32.64,8.22,13.3125,8.25,36.64,37.91428571428571,1
2013-01-17,66.275,53.989999999999995,8.74,7.1625,11.5,31.905,66.275,2
2013-01-18,9.185714285714285,11.45,3.14,6.0375,5.75,36.865,36.865,1
2013-01-19,7.5,8.7,3.23,7.725,5.5,39.15,39.15,1
2013-01-20,7.514285714285714,8.07,4.05,11.287499999999998,5.0,34.49,34.49,1
2013-01-21,12.271428571428572,12.72,8.17,21.9625,4.75,31.56,31.56,1
2013-01-22,121.27499999999999,80.655,15.3,37.45,18.25,14.63,121.27499999999999,3
2013-01-23,103.875,70.91,16.55,22.8625,16.25,20.24,103.875,3
2013-01-24,93.2625,65.11,17.89,16.3625,14.499999999999998,28.05,93.2625,2
2013-01-25,100.57499999999999,68.515,15.62,13.7875,15.75,30.21,100.57499999999999,2
2013-01-26,14.285714285714286,13.46,4.29,8.2375,6.0,41.83,41.83,1
2013-01-27,43.7,36.75,9.44,8.975,9.25,35.185,43.7,1
2013-01-28,6.042857142857144,6.73,3.51,7.1375,5.25,37.095,37.095,1
2013-01-29,10.728571428571428,10.83,6.74,15.25,5.5,34.59,34.59,1
2013-01-30,10.857142857142858,10.23,5.0,9.5,5.5,39.48,39.48,1
2013-01-31,14.9,13.66,7.42,16.6,5.25,34.79,34.79,1
2013-02-01,24.457142857142856,22.81,14.71,33.5,5.75,29.655,33.5,1
2013-02-02,63.099999999999994,55.335,6.56,15.025,10.0,30.455,63.099999999999994,2
2013-02-03,36.08571428571429,34.99,4.39,8.5375,7.249999999999999,31.93,36.08571428571429,1
2013-02-04,44.05714285714286,41.31,20.89,42.525000000000006,6.5,22.705,44.05714285714286,1
