date,PM2.5,PM10,SO2,NO2,CO,O3,IAQI,level
2013-01-01,2.445714285714286,1.964,1.0799999999999998,1.7025000000000001,4.7,28.656999999999996,28.656999999999996,1
2013-01-02,1.4200000000000002,1.182,0.76,1.4525,4.25,26.677,26.677,1
2013-01-03,1.8428571428571425,1.4880000000000002,0.966,1.5375,4.35,27.345999999999993,27.345999999999993,1
2013-01-04,3.4314285714285715,2.6559999999999997,1.1720000000000002,1.6525000000000003,4.35,25.584,25.584,1
2013-01-05,5.9714285714285715,4.534,1.69,2.1075,4.45,25.351000000000003,25.351000000000003,1
2013-01-06,16.268571428571427,12.171999999999999,4.678,3.1100000000000003,5.0,24.261,24.261,1
2013-01-07,7.334285714285715,5.537999999999999,2.066,1.9024999999999999,5.1000000000000005,26.419,26.419,1
2013-01-08,3.077142857142857,2.4059999999999997,1.0219999999999998,1.5425,4.8500000000000005,27.839999999999996,27.839999999999996,1
2013-01-09,3.3285714285714283,2.594,1.1179999999999999,1.8250000000000004,4.5,26.734,26.734,1
2013-01-10,6.562857142857141,4.994,1.8719999999999999,2.145,4.45,27.534000000000002,27.534000000000002,1
2013-01-11,3.6571428571428566,2.8400000000000007,1.154,1.6150000000000002,4.5,29.477999999999998,29.477999999999998,1
2013-01-12,2.6257142857142863,2.0919999999999996,1.064,1.6650000000000003,4.35,30.9,30.9,1
2013-01-13,6.4714285714285715,4.94,1.694,2.2325,4.65,27.403,27.403,1
2013-01-14,11.762857142857145,8.89,3.096,3.2625,5.85,23.419,23.419,1
2013-01-15,3.291428571428571,2.5639999999999996,1.116,1.7774999999999999,5.300000000000001,27.571000000000005,27.571000000000005,1
2013-01-16,3.034285714285714,2.37,1.066,1.77,4.6,28.106000000000005,28.106000000000005,1
2013-01-17,7.111428571428571,5.39,1.8080000000000005,2.3125,4.55,25.256000000000004,25.256000000000004,1
2013-01-18,6.908571428571429,5.191999999999999,1.702,1.8775,4.8,26.824,26.824,1
2013-01-19,8.251428571428571,6.308,2.8299999999999996,2.9375,4.95,27.776,27.776,1
2013-01-20,6.2,4.692,1.672,1.8375000000000004,4.8500000000000005,28.904000000000007,28.904000000000007,1
2013-01-21,3.54,2.75,1.136,1.6600000000000001,4.45,27.698,27.698,1
2013-01-22,7.062857142857142,5.388,1.952,2.1025,4.2,26.96,26.96,1
2013-01-23,5.608571428571428,4.27,1.496,1.69,4.35,28.237000000000002,28.237000000000002,1
2013-01-24,3.4457142857142857,2.68,1.0699999999999998,1.5950000000000002,4.25,28.370000000000005,28.370000000000005,1
2013-01-25,6.757142857142856,5.1259999999999994,1.906,1.95,4.5,29.863000000000003,29.863000000000003,1
2013-01-26,4.982857142857144,3.812,1.376,1.85,4.65,29.757999999999996,29.757999999999996,1
2013-01-27,7.14,5.422,1.8779999999999994,1.8924999999999996,4.55,29.938,29.938,1
2013-01-28,5.351428571428571,4.096,2.114,1.8024999999999998,4.7,28.151999999999997,28.151999999999997,1
2013-01-29,5.525714285714286,4.252,5.146000000000002,3.0725000000000002,6.2,28.435,28.435,1
2013-01-30,6.757142857142856,5.2780000000000005,4.594,3.3425000000000002,5.4,30.95,30.95,1
2013-01-31,5.868571428571428,4.5600000000000005,3.2,2.9349999999999996,5.250000000000001,31.389,31.389,1
