date,PM2.5,PM10,SO2,NO2,CO,O3,IAQI,level
2013-01-01,20.84285714285714,16.1575,5.6025,3.25,6.25,27.902500000000003,27.902500000000003,1
2013-01-02,25.325,20.8225,21.034999999999997,15.275,7.187500000000001,27.6625,27.6625,1
2013-01-03,16.385714285714286,13.15,9.0175,6.090624999999999,5.249999999999999,29.64125,29.64125,1
2013-01-04,15.45,11.9425,4.574999999999999,2.3625,5.125,29.51375,29.51375,1
2013-01-05,22.214285714285715,17.045,6.1625,2.840625,5.875,29.938750000000006,29.938750000000006,1
2013-01-06,20.614285714285714,15.6825,4.6425,2.103125,5.687499999999999,30.2125,30.2125,1
2013-01-07,24.66785714285714,18.767500000000002,5.08,2.246875,6.1875,29.01875,29.01875,1
2013-01-08,22.84642857142857,17.4175,4.71,2.19375,5.875,30.744999999999994,30.744999999999994,1
2013-01-09,26.967857142857138,20.535,5.445,2.703125,6.375,28.27875,28.27875,1
2013-01-10,22.110714285714284,16.91,3.8900000000000006,2.3375,6.0625,27.545,27.545,1
2013-01-11,24.149999999999995,18.477500000000003,5.005,2.490625,5.9375,30.698749999999997,30.698749999999997,1
2013-01-12,25.060714285714287,19.134999999999998,5.5175,2.553125,5.875,30.57625,30.57625,1
2013-01-13,20.146428571428576,15.552499999999998,4.819999999999999,3.2,6.0625,26.5,26.5,1
2013-01-14,17.23214285714286,13.895,10.952499999999997,7.915625,6.4375,29.7725,29.7725,1
2013-01-15,13.524999999999999,10.3975,3.1475,1.890625,5.1875,31.59625,31.59625,1
2013-01-16,14.782142857142857,11.375,3.6975,2.046875,4.875,31.14875,31.14875,1
2013-01-17,14.946428571428568,11.7025,4.8825,3.259375,5.0,29.97125,29.97125,1
2013-01-18,17.160714285714285,13.5825,7.6075,4.571875,5.0,31.2825,31.2825,1
2013-01-19,18.425,14.22,5.41,2.446875,4.9375,31.685,31.685,1
2013-01-20,19.889285714285716,15.5625,7.8675,4.040625,5.312499999999999,32.03125,32.03125,1
2013-01-21,18.232142857142858,13.937500000000002,5.16,2.203125,4.9375,30.727500000000006,30.727500000000006,1
2013-01-22,17.27857142857143,13.24,3.865,2.090625,5.250000000000001,27.255,27.255,1
2013-01-23,18.721428571428568,14.6475,6.9325,4.659375,5.499999999999999,28.632500000000004,28.632500000000004,1
2013-01-24,19.632142857142856,15.122499999999997,5.8575,3.11875,5.1875,29.67125,29.67125,1
2013-01-25,21.25,16.2375,5.1175,2.25625,5.374999999999999,30.66375,30.66375,1
2013-01-26,21.860714285714284,16.737499999999997,5.165,2.5125,5.562499999999999,29.63,29.63,1
2013-01-27,13.739285714285714,10.7575,3.88,2.5124999999999997,5.0,29.68375,29.68375,1
2013-01-28,19.79642857142857,15.205000000000002,4.7225,2.559375,5.624999999999999,28.96875,28.96875,1
2013-01-29,10.642857142857142,8.352500000000001,2.7849999999999993,2.125,4.9375,26.6325,26.6325,1
2013-01-30,9.182142857142857,7.182500000000001,2.175,1.6249999999999996,4.562500000000001,28.109999999999996,28.109999999999996,1
2013-01-31,8.596428571428573,6.880000000000001,3.0725,2.321875,4.3125,29.77125,29.77125,1
2013-02-01,15.721428571428572,12.69,8.622499999999999,5.5125,5.0625,28.81625,28.81625,1
2013-02-02,15.457142857142854,12.002500000000003,5.125,2.946875,4.8125,28.8475,28.8475,1
2013-02-03,18.417857142857144,14.395,5.8825,4.415625,5.5625,24.93,24.93,1
2013-02-04,19.732142857142858,16.0075,13.060000000000002,9.175,6.0,27.795,27.795,1
2013-02-05,17.571428571428573,14.325,11.865,8.575,5.499999999999999,27.44625,27.44625,1
