date,PM2.5,PM10,SO2,NO2,CO,O3,IAQI,level
2013-01-01,63.3875,61.6475,13.614999999999998,61.8375,24.625000000000004,14.3625,63.3875,2
2013-01-02,84.94375,72.33,14.535,71.85000000000001,27.375,19.169999999999998,84.94375,2
2013-01-03,78.53125,64.6825,16.805,48.51875,27.625,14.3025,78.53125,2
2013-01-04,47.92142857142857,50.457499999999996,12.755,39.78125000000001,27.375,7.32,50.457499999999996,1
2013-01-05,53.14375,53.005,11.43,43.8875,27.625,11.99,53.14375,2
2013-01-06,62.35,58.832499999999996,15.22,47.46875,28.875,10.79,62.35,2
2013-01-07,70.19999999999999,64.7175,13.96,61.86875,31.874999999999996,13.18,70.19999999999999,2
2013-01-08,92.18125,77.0175,19.2,76.325,36.5,16.49,92.18125,2
2013-01-09,79.60000000000001,66.66,18.975,49.95,33.625,15.895,79.60000000000001,2
2013-01-10,89.44375000000001,69.035,19.745,43.74374999999999,31.374999999999996,17.0125,89.44375000000001,2
2013-01-11,83.14375,68.11,16.5,62.20625,29.874999999999996,29.3575,83.14375,2
2013-01-12,98.40625,75.4175,18.865000000000002,74.8125,35.12499999999999,20.450000000000003,98.40625,2
2013-01-13,98.18125,76.77,22.085,79.44375,38.87500000000001,28.0525,98.18125,2
2013-01-14,63.175,54.837500000000006,11.03,44.06875000000001,27.250000000000004,38.295,63.175,2
2013-01-15,56.724999999999994,53.06,7.705,51.6,23.5,38.6275,56.724999999999994,2
2013-01-16,84.025,67.94,10.78,88.9625,30.625000000000004,39.305,88.9625,2
2013-01-17,79.88749999999999,67.5275,15.395,59.8875,32.25,35.43,79.88749999999999,2
2013-01-18,93.61874999999999,68.535,15.875,42.52499999999999,33.125,36.245,93.61874999999999,2
2013-01-19,59.212500000000006,53.6375,8.685,44.09375,22.5,40.3925,59.212500000000006,2
2013-01-20,40.42142857142857,42.665,5.105,51.8375,18.874999999999996,32.9125,51.8375,2
2013-01-21,36.878571428571426,41.77,5.79,55.8625,20.0,34.2925,55.8625,2
2013-01-22,62.15625,61.3475,13.905,86.89999999999999,28.249999999999996,33.5325,86.89999999999999,2
2013-01-23,94.38749999999999,68.6575,14.670000000000002,54.887499999999996,37.25,37.95,94.38749999999999,2
2013-01-24,103.225,75.06,11.835,71.74375,37.125,48.6225,103.225,3
2013-01-25,82.80625,63.165,15.899999999999999,49.08749999999999,38.0,44.005,82.80625,2
2013-01-26,118.50625000000001,79.065,12.489999999999998,43.925,41.25,64.0875,118.50625000000001,3
2013-01-27,87.76249999999999,60.5925,12.91,43.6125,42.125,32.325,87.76249999999999,2
2013-01-28,66.46875,55.72,10.665,32.075,25.625000000000004,60.47083333333333,66.46875,2
2013-01-29,39.19285714285714,38.925,6.574999999999999,49.193749999999994,15.625,39.855000000000004,49.193749999999994,1
2013-01-30,43.15,39.769999999999996,6.475,40.19375,18.125000000000004,42.335,43.15,1
